Comments,Score,Difficulty,Attendance,Would Take Again
"Really amazing teacher! She encourages a lot of open conversation and is incredibly supportive. ENGL292 is content heavy and moves quickly; you really have to do the readings, the lectures will not be enough (although they help a lot). You might not get as much out of the course if you're not an English major because the content can be obscure.",5.0,3.0, Mandatory, Yes
"Dr. Berg's 292 was by far the best course that I've taken - attendance wasn't mandatory but it made a world of difference to how interesting the course content was + how easy it was to understand. Papers are marked by TA, exam is totally fair, and Dr. Berg herself is approachable and incredibly intelligent. Would absolutely recommend.",5.0,3.0, Not Mandatory, Yes
"Maggie Berg is my idol. Caring, compassionate, knowledgeable, and hilarious, her courses are designed to be able to do well in and if you ever have questions or need clarification she is there to give it to you. I LOVE YOU MAGGIE! I HOPE THAT MAN BECAME A PREIST (inside joke ;)",5.0,3.0, Mandatory, Yes
"Maggie is a nice prof who is relatively lenient with deadlines, and asks for student feedback. Her lectures were a bit long-winded and repetitive at times and although she makes positive comments, sometimes her marking does not reflect that.",4.0,4.0,, Yes
Best prof ever. I get enlightened every time I walk into her class.,5.0,3.0, Mandatory, Yes
Supportive of participation. Really easy to talk to,5.0,4.0, Not Mandatory, Yes
"While she is knowledgable in her subject field and her classes are interesting, there are obvious signs of nepotism in her class, particularly towards those who share her political views.  Unfortunately those with right of the centre ideologies will struggle compared to those with more liberal points of view.",4.0,3.0,,
Maggie is the coolest!  She is a great teacher and cares so much as to her student's opinions.  AMAZING!!!!,5.0,3.0,,
Shows a little favouritism to those who share her political / social views.  Typically those with right wing conservative political views will struggle with marks on papers.,3.0,3.0,,
"Maggie is a true educator - concerned, helpful, passionate about her work. Getting to know her outside of class is great too.",4.5,3.0,,
"Maggie Berg is an amazing prof. She treats her students with respect, and is very helpful. She encourages students to strive to develop their potential. She is very understanding and intelligent. I highly recommend taking her class.",5.0,3.0,,
"Maggie Berg is a wonderful prof. She is extremely accomodating of her students and an excellent lecturer. If you take the time to introduce yourself, you will be lucky to know her outside of the classroom. She's great!",4.0,3.0,,
"I loved Maggie. She honestly tried her best to make difficult material understandable, and I feel I have learned a lot from her. She tries to involve everyone, and if she seems to have favourites, it's because those are the kids who actually talk in class. She's fun and spunky and I really love Theory now that I've had her class.",4.5,4.0,,
"First semester, frankly, was a bore.  The course seemed pointless, the prof was sort of flighty, but then second semester of poststructuralism was absolutely fascinating.  It will change the way you see the world, and she is the best prof to facilitate such a discovery b/c she is so understanding.  Definitely take this course! It is mind blowing!",5.0,2.0,,
It says more about the student body at Queen's than it does about Dr. Jolly that her ratings are so low.,5.0,4.0, Mandatory, Yes
"If you want to witness colonial guilt oozing with pretension, exclusive academic self-serving language, and feel alienated from anything approximating meaningful engagement with a 'post-colonial' author, take this professor's course.  Be suspicious of all the long words.  Axes be ground, Southeastern Ontario style.",1.5,5.0,,
"Her course is relevant, engaging and unnerving. She demands that you step outside pure critical analysis and question why you are writing said essay to begin with. Her course is an applied narrative study of the rhetorical discourses in a text with emphasis on the real world implications of the text/its interpretations. She offers creative options.",4.5,4.0,,
I was in her 4th-yr seminar back in '06.  I have so much respect for her -- brilliant and inspiring.  LOVE HER!,4.5,4.0,,
"so engaging!! even though the class was early i always wanted to go. she is not only an amazing and interesting teacher, she is a good person who is flexible and genuinely cares about her students.",5.0,4.0,,
"Prof Jolly is extremely knowledgable and her personal anecdotes make the lessons that much more engaging. My interest in post colonial literature was deffinitely stimulated by this course! I loved everything we read, and even if I didn't enjoy it at the time, her lessons helped me appreciate the work. This has been one of my favourite classes!",5.0,4.0,,
"Professor Jolly was very nice, although her class didn't wow me. Her lectures seemed a little lacking, but it's probably because they were so damn early.  Still, I've gotta give this woman mad props, because she helped me out of a sticky situation after I missed a test, even though I was constantly falling asleep in class.",4.0,4.0,,
"For a second year survery course, the course was way too specific.  She seemed to repeat the same points over and over.",2.0,4.0,,
"Wow, I can't believe the negative comments put up on this board. I found Prof. Jolly's lectures and seminar discussions to be very engaging and inspiring. The class material was fascinating. More importantly, Prof. Jolly was extremely responsive to student needs and available outside of class; she personally helped me to develop my essay writing.",5.0,2.0,,
This professor is amazing - she alone inspired me to pursue graduate studies in post-colonial theory.  Best class I ever took at Queens.,4.5,4.0,,
Tedious and vain.,1.0,2.0,,
"Jolly's class was the worst English class I took in university...we discussed such minute topics in class and her lectures we unclear and boring.  The books that we read in the class were interesting, but her teaching and her lectures were not.",1.5,4.0,,
It's a solid course and she's organized but I was a little taken aback by her self-promotion.,4.0,3.0,,
"This woman is a power hungry, name-dropping, insulting and incompetent teacher who thinks she's out to change the world. Wake-up call: you're not. The only thing I learned from her was how NOT to teach.",2.0,4.0,,
Great prof. presented material cleary with a great sense of humor. All her marking was incredibly clear and students know exactly what she is looking for.,5.0,2.0,,
Favoured certain students over others.,1.0,5.0,,
Worst prof I have ever had. Could not care less about her students!,1.0,2.0,,
"Took my first class with Professor Simpson for Financial Reporting 3. He is awesome! He goes over the course material through examples in class. Also, he prints packets for each section which covers everything he expects you to know for the exams with the exception of a curve ball every now and then. I highly recommend taking him for any class. ",5.0,3.0, Not Mandatory,
"Take any accounting class he offers with him. Yes it is A LOT of work and a huge time commitment but if you get it done, you will do well. He also entertains you with stories of his life. Great man",5.0,3.0,,
"Simpson is a legend. The workload can be a lot, but the tests are EXACTLY like classwork and hw. A kind and gentle man, and hilarious in class too.",5.0,1.0,,
I had Prof Simpson for Intermediate Accounting (two courses) in 1979 and 1980.  This is the guts of accounting and helped me pass the CPA exam the first time.  His exams were given at night and lasted 2-3 hours.  He would leave us alone for times.  I guess it was a test of our ethics as CPAs need to be trusted.,5.0,4.0,,
"I would DEF take accounting 222 with him if you can. By FAR the easiest professor to take it with.  Exams are exactly like homework and class problems, he offers extra credit, and he is willing to help any student. He is hilarious too which makes class enjoyable. Probably the funniest professor I've ever had. Great course for any Isenberg student!",5.0,1.0,,
"EASIEST professor at UMASS. wants every student to get an A. tells hilarious jokes. He isn't very clear on his material. instead of teaching, he goes over class problems. exams are a joke, literally the same as the hw and class problems. tons of extra credit. homework and class participation mandatory to do well. love this man! class avg was a 99%",4.0,1.0,,
Wants his students to all get As. Is willing to help you with any issue you encounter. Great guy.,4.5,1.0,,
"BEST, BEST, BEST! I'm really sad to see him go. I really learned a lot. He will come back for the MSA program so those who are interested in MSA program at Isenberg, look for Prof. Simpson!",5.0,5.0,,
"Best professor I've ever had. He can be really entertaining sometimes but also does a pretty good job of teaching the material. He will help you with anything! If you ask, he will give. Text extensions, extensive help with homework, lunch date, etc. Awesome guy! I thought I would hate this class and I love it. Really sad to see him retire!",4.5,4.0,,
FAVORITE! His class is difficult only if you dont put in the time. You must study study study to do well. Fun classes but need to devote time outside as well. Use the exam outlines Worth it!,4.0,4.0,,
By far the best accounting teacher in Isenberg.  Always answers your questions.  He gives a lot of work but gives extra credit too.  Very nice guy tells funny stories about his home life.  Tests are exactly like the homework.  There are 3 types of tests and 4 of each.  It is not hard to do well if you do all the work,5.0,2.0,,
"Hard class, but do all the work and you'll likely get an A. Simpson is an amazing professor and genuinely cares about his students. The experience is definitely worth the hard work!",5.0,5.0,,
Top three professor in SOM !,4.5,3.0,,
"Great professor, he is truly one of the best, but expect to do loads of work. It is tough material but if you go to class, do the assigned work, and look for the hidden extra points you will be rewarded! Simpson is very friendly, helpful, and understanding.",4.5,5.0,,
Loads of work. Lets me attend multiple class(es). Very nice guy.,4.5,1.0,,
Absolute best professor I have ever had in any accoutning class.  Loads of work but worth it.  Great guy.,5.0,3.0,,
Convinced he's a retired comedian.  Classes are always entertaining and he is a great guy.  He gives lots of work but is clearly a fanominal teacher.  Get ready to do some work but its worth it.,5.0,4.0,,
Took the class with Elgers originally. Plan to retake it with Simpson. Seemed to be really nice and gave me a book to study to try to do better. Really appreciated his helpfulness and generousity. Will return book in February and see him then. I like him as an instructor. Hope he is very patient next semester. I am very nervous about the repeat.,5.0,1.0,,
"Loved his class. Received C-. Hugged him at graduation. Did no HW. That's why I did bad. No grudges or regrets. Did CPA problems when I realized I needed to improve. Still didn't like HW. Did the readings and read his long notes. Gotta have his class, since you are no accountant without him. Worth every notch down on GPA.",5.0,3.0,,
Simpson is the best professor you'll ever have!,5.0,4.0,,
"A sterling example of the type of professor who is ruining higher education. Avoid this professor, and take others from the department. She is the low point of the entire department.",1.0,1.0, Mandatory,
"Misuses English Lit to justify their ideology. Biased, highly political. It's not about feminism - it's about being one who misuses others and lit purposely to achieve their own ends. It's the particular type of individual and person behind the persona. Beware of them + other profs: it's about ego and economics, not intellectual merit and substance",1.0,1.0, Not Mandatory,
"Elizabeth has a troubled personality and character. Her lectures are poor, and her actual writing and academic contributions are poor and uninspired. She also does unethical things with her powers that exceed what tenured profs can do. Beware.",1.0,1.0, Not Mandatory,
"Ms Hanson is a destructive educator who doesn't care about her professional responsibility towards students, picks favourites, and does inappropriate things in the course of her academic-professional duties. Avoid her, as you won't learn much.",1.0,1.0, Mandatory,
"Overly intense to an almost comical degree, as well as to compensate for her lack of skill. Avoid her and your degree will be the better for it.",1.0,1.0, Mandatory,
"Horrid professor. It's not about politics/ideology with her - it's about the particular person she is. Which is a bad one. She also can't teach Lit History well because she's dedicated to not making her points clear and distinct. She will ramble - rely on asking vague questions that don't approach her thesis for the class. Bad prof, bad educator.",1.0,1.0, Not Mandatory,
Ms Hanson is a discriminatory person who has problems. Best avoid her if you wish to have a good education.,1.0,1.0, Mandatory,
"Avoid this Prof and stay away from her influence as much as you can. Some will say bad comments are RE: she's political/feminist. She's just a bad person who uses her position and influence to break people who don't conform to her version of what English Lit should be. Unprofessional, and a horrid human being. Best avoid for your comfort.",1.0,1.0, Not Mandatory,
"Has made sanist comments, and generally doesn't care about her students and professional responsibility. She also really doesn't understand what she teaches as much as she likes to think.",1.0,1.0, Mandatory,
"Doesn't teach literary history objectively. Beware - she's one of the most troublesome, acerbic department members who you have to endure.",1.0,1.0, Mandatory,
"Hanson is great during office hours, she encourages insightful discussions during class, and is very passionate about the subject. She's not tactful when grading; her points are fair but blunt to the point of rudeness. She's also a feminist, which may lead some people to obsessively rant about her for five months and more. All in all, a good prof.",4.0,2.0,, Yes
"Elizabeth marginalizes people she doesn't like, and has done professionally/ethically repugnant things in the past that she has been excused from unjudciously. Avoid her, as she has significant issues as a professional and person.",1.0,1.0, Mandatory,
Elizabeth Hanson is a completely unnecessary individual who has severe personal problems she takes out on other people in the course of her academic duties. She shouldn't be listened to or followed - she's not noted in the profession for any of her specialities. Avoid her and take better profs.,1.0,1.0, Mandatory,
"Elizabeth isn't a very good professor, professional, or educator. She doesn't care about students - she ONLY cares about politics and ideology. Which she filters thru the courses she teaches. You won't have objective accounts of English lit taught with her - be mindful of this. Avoid her if you can.",1.0,1.0, Mandatory,
"An ineffective, incompetent, and destructive individual who is politically obsessed, and only cares about herself and her position in the academy. ",1.0,1.0, Mandatory,
"Hanson's an ineffective prof who doesn't care about her professional duties to students, and also lacks skill in the discipline as a writer and lecturer. ",1.0,1.0, Not Mandatory,
"She's incompetent and can't teach her courses properly, and equitably. Avoid her and take profs who are less politically corrosive.",1.0,1.0, Mandatory,
"She's not good at what she does, and does bad things to her students. Avoid her at all costs.",1.0,1.0, Mandatory,
"Hanson's a destructive person, who also pumps herself up by getting individuals to write in favour of her on this website. Stay away from her - your life and education will be better for it.",1.0,1.0, Mandatory,
"Hanson is intelligent, knowledgeable, and cares about her professional responsibilities to students. She can be candid about her position on charged political issues, which can be frustrating, but she's not close-minded. She is an enthusiastic teacher and competent.",5.0,4.0, Not Mandatory, Yes
"This person is truly amazing. He is always willing to help, and truly wants you to succeed. I would recommend taking any course with this prof if he does teach it. He is very generous with marking assignments. Well done Prof Whiteley. Keep up the great work.",5.0,1.0, Mandatory, Yes
This professor is amazing!Interesting lecture and you will be really amazed about geometry with this prof!!,5.0,2.0, Mandatory,
Best professor i met at York,5.0,2.0, Mandatory,
"That guy is out of this world. Seriously. THAT AWESOME. He actually cares if you learn the material, which is why he lets you re-do the assignments. Final project was my least favorite part of the course but overall I enjoyed it a lot! Awesome prof, great lecturer, absolutely worth taking that class with him! he's the best in the math dept for sure",5.0,1.0,,
"Was a pleasure! Not only was he very friendly and helpful, but I never even did my homework and still got a B.",5.0,1.0,,
AMAZING LOVED HIM,5.0,1.0,,
Excellent professor. Very passionate with his teaching subject. Cares about his students' successes.,5.0,2.0,,
"The best prof I have had at YorkU. Very approachable, human, and smart.",4.5,3.0,,
Fabulous professor.  Lectures are always interesting.,5.0,2.0,,
Very visual and very hands on making difficult concepts easy to grasp. He passes his enthusiasm on to the class.,5.0,1.0,,
Great instructor. He speaks to students in a down to earth manner.,5.0,2.0,,
"i had him as a project advisor, fun to work wid, very helpful when it comes to understanding material, considers even your dumb speculations. in short, very very nice person and knows a lot about different stuff as well.",4.0,1.0,,
Interesting course,5.0,2.0,,
This guys is the best University Prof ever!  I had him for Visual Thinking!!,5.0,1.0,,
I had him for a seminar course and he was the most down to earth prof. there is!,5.0,2.0,,
He is very helpful and has quite a unique sense of humour.Has lots of books.,4.5,2.0,,
"I loved taking Dr. Amyot's 431 European Populism class. I honestly didn't think that I would enjoy the class but Dr. Amyot is really sweet and cares about his students greatly, I got sick twice and he gave me extensions for both times. You have to work and participate in his class to do well but I received his recommendation. Great prof!",5.0,3.0, Mandatory, Yes
He made class enjoyable to go to. He teaches the material in a way that anyone can understand. We were assigned a lot of readings but they were all useful so as long as you stay on top of them you will be fine. I appreciated all the reading material related to the topic of the week. He is understanding with deadlines and is approachable after class,5.0,3.0,, Yes
"Amyot is the biggest beauty teacher. Cares about his students, good at explaining and not rushing material, and accommodated me when I fell a bit behind. 10/10 would recommend to take his class. Absolute Gem!",5.0,3.0, Not Mandatory, Yes
"Grant is an absolute beauty. As someone who knows him well, I can say without a doubt that he is my favorite prof and is very helpful and accessible. If you ever get the chance, talk with him one on one, he's an extremely interesting man.",5.0,3.0, Not Mandatory, Yes
"He rambles during lectures. His lectures sound like he's talking to himself, not to a class. He reads from a script 100% of the time. Sends his lecture slides before class, but they are not sufficient enough to rely on. Readings are scattered, one week its one chapter, the next week its 8 readings, 40 pages each.",3.0,3.0, Mandatory, No
Professor was very accommodating and clearly well versed in what he's teaching.,5.0,3.0, Mandatory, Yes
"Amyot was at least somewhat hamstrung by the material--political theory has never been particularly interesting to me. His speaking style is uneven and somewhat difficult to follow at times, and often his lectures would veer off in seemingly unrelated directions. That being said, nice and gentle man, class was remarkably easy. ",2.5,2.0, Not Mandatory,
"Amyot really goes out of his way to make sure his students do well, especially in 384, which is a required course for politics majors. He is super accommodating, helpful, and approachable. He's a great lecturer, but may not come off as such due to the boring nature of the course. Clear and concise. He doesn't get back to emails too quickly though.",4.5,2.0, Mandatory,
"Took this course to fill a 3rd year pols requirement not expecting much from it, yet ended up loving Amyot and the course in the end. He is extremely clear in his expectations and a very clear lecturer. He had the class participate in a model European Union, which was by far one of the most fun I have had in a class room in 3rd year.",5.0,3.0,,
"a dreadful class. This prof is nice, but he can't teach. Extremely unclear, therefore hard to do well. Even the TA is a mess. He should stick to teaching European politics instead",1.0,4.0,,
"very helpful, not always clear in class though, but an expert in European politics.",3.5,3.0,,
cool prof. not very clear sometimes.,2.5,4.0,,
I love this guy! Very helpful and intelligent.,4.5,2.0,,
I just loved him. 384 is a mandatory class for all politics students so many people dread taking it. Amyot is wonderful though! He's a great teacher. There is a lot of reading for this course. So be prepared. But do what you can. The tests are very fair. He marks noticeably higher than most politics profs. I highly recommend taking his class!,4.5,2.0,,
A good prof. Can be a bit dull at times but overall one of the better in the school.,5.0,3.0,,
Enthusiastic and positive professor.  One of the department's best.,4.5,3.0,,
"Great guy, bar none",5.0,4.0,,
"Extremely intelligent, alot to learn from him if you are willing to.",4.5,3.0,,
A wonderful and helpful man,5.0,2.0,,
"Format professor provides is horrible. Voice recording no powerpoint, document of everything they said in a paragraph..  all were graded on is 2 essays one 40% of grade and one 60%. It would be helpful to have discussions or some other form of grading not only to be able to split up our mark but also to have better discussions about the topics.
",1.0,5.0, Not Mandatory,
Worst professor I've ever had at York. This man absolutely refuses to enter the 21st century and use a slide show or some visual media. He read to us for 2 hours. Nobody is able to digest content like that. . Every single student who's taken your classes feel this way. He ended our class in 2020 when covid broke out cause he refused to go online.,1.0,4.0, Mandatory,
"John's a bit dry; but you get what you give with his classes. Extremely knowledgeable, eager to chat one-on-one in office hours, and very methodical. Best character of any prof I had at York film; he cares. He's accessible. He has a standard to get by in his classes, but film theory isn't supposed to be easy. Very much recommend! You'll learn tons.",4.0,4.0, Mandatory, Yes
I am not a fan of his teaching techniques but he is understanding with late penalties and he gives you grace days on assignments. I had Galiet for my TA and she was hands down the best TA I have had. She really cares for her students and will sit down with you to explain. I recommend having her if you take the course.,2.0,3.0, Not Mandatory, No
Professor McCullogh is the worst online prof I've had the displeasure of taking a course with. This man is probably making over 100k and he does not even take the time to put together a slideshow or make himself available for synchronous lectures. If you take one of his online courses just know you'll be paying to teach yourself for 4 months.,1.0,4.0, Not Mandatory, No
He is so nice and understanding. I really liked him.,5.0,3.0, Mandatory, Yes
"I love the hoodie-clad, carefree John McCullough, but I will warn you that his lectures are a bit dry.",3.0,3.0, Not Mandatory, Yes
laid back. Tends to make insults which is odd. Class is quite easy. For that reason you may want to take a class with him. Im a bit conflicted. He does not really care which is a good and a bad thing. Does not add much substance to the content he covers. If you're looking for a good grade that involves little effort then take a class with him.,2.0,2.0, Not Mandatory, No
Hilarious! Really into his material. Very aware of social climate and how it affects what we see and what others create. Would for sure take again,5.0,3.0,, Yes
"Everything that comes out of his mouth is dragging out the readings which are outdated and irrelevant. I don't understand how York has such a bad professor. If you confront him about a grade, he will lie and not review it and insult your intelligence. If I wasn't close to graduation I would file a complaint against the school because of him.",1.0,5.0,, No
"Terrible professor, one of the worst I've ever had. Doesn't teach anything just reads from the readings. Stay away from this professor",1.0,1.0,, No
He has good insights and knowledge. He is helpful to students and approachable. I would recommend his classes.,5.0,3.0,, Yes
"Worst professor I've had through my academic  career. Shows zero knowledge for material outside of the readings. Terrible speaker, very dull.",1.0,4.0,, No
"Will call out students, calling them students and degrading them and the rejoice when they leave the class. Likes to remind film studies students that they will never be as good as film production students since they didnt get into the program",1.0,2.0,, No
"4 hours. Movie followed by lecture. Really bad speaker, stutters a lot with so many ""ums"" and ""ers"". I absolutely can't focus on what he's talking about. No content in what he says. Stopped reading the textbook because he says exactly what it says. Offers very little real insight. Rambles forever, skipped more lectures than I've attended, got an A.",2.0,2.0, Not Mandatory, No
"Drags on in lecture, doesn't really deliver the content in an interesting way. The class is textbook heavy, you have to do the readings to do well. With that said, it's not a difficult course if you do the readings.",3.0,2.0, Mandatory, Yes
So far one of the best Professors I met,5.0,4.0,, Yes
"The material he teaches is pretty interesting. The only problem is that it a four hour afternoon lecture so it can be hard to stay up for it. The tests really aren't that hard, you just have to at least go to class and do yourself the favour (of at least) occasionally opening the textbook. The work load isn't that heavy either, but pace yourself.",4.0,4.0, Mandatory, Yes
"John is an awesome professor, super approachable. If you prove that you are willing to put in the work he will really help you out. Easily the best prof I've had at York University",5.0,2.0,,
"I have had a few classes with Prof Cullough and he was enjoyable and knowledge, every time. Great taste in films and encouraging with assignments. seriously a dope teacher! And sensitive to women rights- swoon.",3.0,4.0,,
"Dr Burfoot has been in the academic game for a very long time -- she is respected and a genuine human being. She was incredibly accommodating during the COVID-19 outbreak, which speaks to her moral force of character. An admirable feminist. Now, it must be said, her course was rather dense and disorganized. It would be better with tutorials.",3.0,3.0, Not Mandatory, No
"Prof Burfoots lectures, while she was very knowledgeable, were incredibly boring and dense. While some of the assignments seemed easy and fun, like making a brochure, they were marked difficulty and did not reflect material learned in lecture. Course content was interesting but her lectures did not do it justice unfortunately.",3.0,4.0, Not Mandatory, No
"The lectures are a bit boring, but interesting material! I wouldn't bother doing the readings as lecture covers all of it. If you put work into assignments its not hard to get a good grade. She was also very fair with the exam - basically impossible to fail it.",3.0,2.0,, Yes
"Honestly... her class is the worst I've taken in the entirety of my undergraduate degree (I am now a fourth year student). She is an incredibly boring lecturer, is not sensitive to her students' needs, and has the most vague assignment instructions I've ever seen. Avoid at all costs.",1.0,4.0, Not Mandatory, No
"Good lecturer, can be a bit monotone but overall an effective professor. Always available outside of class for discussion.",4.0,3.0,,
Great proff for upper year.... not as much for a first year course. Makes the class very enjoyable for her students... she knows what students like and her evaluation schema is awesome,4.5,3.0,,
"really boring, despite attempts a interacting with the class.  she was better than beamish, but still not great.",3.0,2.0,,
In comparison to Prof. Beamish she was great. It was nice to learn something although the material could be kind of boring as opposed to learning nothing with tons of gimicky and pointless powerpoint slides and songs *cough* Prof. Beamish *cough*.,3.5,3.0,,
boring.,2.0,3.0,,
"tried best to make dry subject matter interesting. for me it just didnt work. but it is clear she is very smart and knows exactly what she is talking about, its all just rather hard to take in.",3.5,2.0,,
"Can be interesting and encouraging, until she's not.  From warm and fuzzy to destructive ice queen, the switch is sudden and inexplicable.  Beware.",1.0,3.0,,
"I probably would have liked her better if I'd been able to stay awake in her classes. I found it hard how all over the place the readings were, and although she tried to be helpful she never really seemed clear on what people were asking.  Midterm was 20 MC questions - ridiculous! But she's a nice person, and not a terrible prof...just not amazing.",3.0,3.0,,
"Prof. Burfoot was very interesting, brilliant and organized.  Always willing to discuss topics with students outside of class time.  Her class was laid out very welll, with mixed media presentation and a good mix of lecture and class discussion.  She is very passionate about her subject and obviously knows it well.  She is a fantastic teacher.",5.0,3.0,,
"I found her class really interesting, and she is a great speaker and prof. She tried to get the class involved in the lecture even though there's over 200 students in the class. She is really clear and it is noticable how passionate she is about this course.",3.5,3.0,,
"For a course about Pop Culture, Burfoot seems a little out of touch with contemporary entertainment.  Her knowledge of the theoretical perspectives is great - her application to today is pretty questionable.",3.0,2.0,,
Most boring prof I had this year!!!  She killed a subject that could have been interesting.  Her obvious feminist biased just turned me and everyone I know off of the class.  She gives boring lectures and comes off like a totally miserable person.,2.0,3.0,,
"I think Professor Burfoot is great. I enjoyed how her topics in sociology were not all theorist and theory, theorist and theory, blah, blah, blah. I enjoyed discussion on random topics involving our society. She is a good lecturer, and very nice to speak to in person.",5.0,2.0,,
"excellent prof.  Clear, concise, pretty and intelligent.  Prof. Burfoot tolerates students to challenge anything and always has the right answers.  Perhaps brilliance has a cost.  Some of her lectures can be monotone but she overcomes this by allowing helpful discussion - great equalizer.",5.0,3.0,,
"I really found her lectures interesting, and the movies were a nice interlude.  The exam and midterm weren't so bad and the workload isn't too high.  She sparked my interest in sociology.",4.5,2.0,,
The best prof I ever met.,5.0,3.0, Mandatory, Yes
He is very responsible for our homework. He marks our homework seriously and he gives us detailed suggestions to guide us have a better understanding on what we learn.,5.0,4.0, Mandatory, Yes
"By far my favourite course taken. Amazing prof, willing to help and prepares you for the final. Made me really enjoy and appreciate watching silent films!",4.5,4.0, Mandatory,
P-Dawg is the best! He really sparked my interest in silent film!,5.0,2.0,,
An extremely boring and redundant professor who really doesn't seem to care too much about the students. Will avoid classes that name him as prof.,1.5,1.0,,
"Really Informative in lectures and easy to approach, but in the exam the question were things we had never been required to know...Over all a good prof just make sure you know exactly what he wants.",4.0,2.0,,
"Great teacher, great class! If you attend all the screenings and seminars, it's easy to do well. However, it's also easy to do poorly, as the assignments are short and worth a lot. He shows good movies and makes the class engaging, but in a fun/comfortable way.",5.0,2.0,,
This guy is great. If you reach out for help he will be there. Extremely kind guy and a really interesting prof!,4.5,4.0,,
One of my 2 favourite Queen's profs!  Baxter is the best,5.0,2.0,,
"Great class. Fairly easy marks. The selection of movies was generally good, but he always gives an engaging lecture and likes to keep things different from class to class.",4.5,2.0,,
A knowledgable and thoughtful man.,4.0,2.0,,
"The best prof I had all year. Looking at the course outline (which by the way, was done perfectly on the Film Studies website and updated regularly), I saw MANY Westerns lined up to be studied -yikes. Surprisingly, he made them actually enjoyable! Great way of marking students (sometimes the tests can be a tad bit infuriating, but in general fair).",5.0,2.0,,
Overall very good. Good selection of movies. Genuine love of the subject was evident. Talked a lot about hats though.,4.0,3.0,,
Very intelligent and interested in students' opinions on the content and how they should be graded.,4.0,3.0,,
"My favorite prof of all time. An incredibly passionate speaker, engages students well. His class makes me want to study film, it makes me want to dive into the history. I can't wait to take another course by him. He is super organised.",5.0,3.0,,
"Best class I have taken yet!  Baxter is a great guy, makes class fun and lets you learn a lot in the process!!",4.5,3.0, Mandatory,
Relatively interesting lectures.  Organized.  Nice guy.  I liked him.,4.0,3.0,,
Love Baxter.  This class is awesome.  It's also got a really light workload.,5.0,1.0,,
An awesome guy and a great prof. I really enjoyed his lectures.,4.5,2.0,,
"Not a bad prof, great power point slides!! He seems to like what he does so it makes the course more enjoyable.",3.5,3.0,,
"WORST. TEACHER. EVER I had him as a psychology professor and he knew nothing! It was his first year teaching psychology because he came form Albany teaching biology. So all we learned was the Biology aspects of Psychology! Just wow, disappointed in him and JMU",1.0,5.0, Mandatory, No
"Do not take him for ANY class. He is horrible, can never give a straight answer to any questions, and takes weeks to get exam grades back to you. He rambles on and on about pointless things during class that have nothing to do with the lecture. He is a sweet man, but should not be a professor.",1.0,4.0, Not Mandatory, No
"Teaching style hard to cope with. Strong will to teach, but his analogies are hard to catch on and they don't make sense unless you really understand the biological mechanisms first. Exams are difficult and all based from slides. Textbook not used at. Overall...difficult portion of  Gen Bio class compared to Prof. Osuna",2.0,5.0,,
"He is all over the place, It seems like he asks questions on the most insignificant details. His test are hard and I studied for about a week before and still didn't do well. I never know what to study because you dont know what he will ask.",2.5,4.0,,
"If you care about frogs, flies, thinking like a mountain, and the basal ganglia you will find a great interest in this class. Half of the stuff we did was not in the text book. Tests were not easy, really need to study HARD and go to every class to do well. One thing i liked was that he took time to interact w. the students during lecture.",2.5,4.0,,
"Hirsch is a character to say the least. His lectures were semi-worth attending for notes, but a lot of the lecture was dedicated to material partially in the textbook and partially to his own interest. Definitely passionate about the subject and office hours are helpful. Go to lecture and take notes and you should be fine for the class.",4.0,4.0,,
"the material is very dull, so it sucks no matter who you have, unless you have a high interest in it somehow.  He's a good professor though, seems like he cares.",4.0,4.0,,
A lot of his stuff had nothing to do with what we were supposed to be learning. Don't sit in the front row because he likes to get up in your face...even though nobody would really respond. He likes it when ppl participate in class which is stupid because 600 ppl are in class. Tests were confusing. He cares too much about stuff that isn't relevant.,1.5,5.0,,
"He is very excited about his work, but his lectures are disorganized and the way he explains things, at times, confusing. He posts powerpoints days after the lecture or sometimes not at all. His material is largely outside of the textbook (and some from his own research) so pay attention in class or you will have difficulties on his tests.",2.5,3.0,,
"He is just a mess.  He's really smart, but his ideas are all over the place.  His tests are hard because he asks questions on the smallest detail!  Otherwise, he's sort of entertaining in class.",1.5,4.0,,
"He's very excitable, and walks around the room to make sure everyone is involved.  His lectures are relatively simple to understand, and if you don't, don't worry, he'll go over the same thing for multiple classes.  Overall, he's a good teacher, but his class is pretty dull.",4.0,2.0,,
Very hard to get a good grade. His exams are so difficult. He does not even give the questions from textbook.,1.0,5.0,,
his lectures are really interesting but his tests are a little difficult. They arent impossible tho...hes always willing to help you with any questions.....i rly enjoyed his class,4.0,3.0,,
Amazing professor. very passionate about the environment and gets all the information across in a clear and concise way.,5.0,3.0,,
He kept attention in class well and atleast kept it somewhat intresting.  Terrible to have to have had Wulff the second half of the semester though.,3.5,3.0,,
Took Bio 110 where Hirsch taught the first half of the semester.  He was fabulous.  Focused mostly on environmental issues and I learned a great deal.  Found him to be enthusiastic and engaging.,4.5,3.0,,
"Take him, he is cool, but beware: YOU MIGHT RUN INTO PROFSSOR AFTER HIRSH's section is done....very possible to get a good in the class though",4.0,2.0,,
Awesome!,5.0,2.0,,
"He's a really nice guy and has good intentions, but I think that he is so wrapped up in the material that he fails to realize that he is not being clear with what he expects from the students.  Reading the text is a must!",2.5,4.0,,
